,np_id,species_list,org_id,pref_name,molecule_chembl_id,pubchem_cid,smiles,ro5_fulfilled,ROMol
15,NPC162685,Lygodium japonicum,NPO24093,"2-[(3S,3As,5Ar,5Br,7As,11As,11Br,13Ar,13Bs)-5A,5B,8,8,11A,13B-Hexamethyl-1,2,3,3A,4,5,6,7,7A,9,10,11,11B,12,13,13A-Hexadecahydrocyclopenta[A]Chrysen-3-Yl]Propan-2-Ol",CHEMBL2448591,164874,CC(C)(O)[C@H]1CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(C)CCCC(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@H]12,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f958040>
16,NPC328267,Hypericum monogynum; Hypericum uralum,NPO5743,Fluoxetine,CHEMBL41,3386,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f9580b0>
17,NPC144854,Vitex negundo; Aralidium pinnatifidum; Eurycoma longifolia,NPO6626,CUGAWYNVYRXBFW-ANTZAFMPSA-N,CHEMBL1081417,46878901,CC1=CC(=O)[C@@H](O)[C@]2(C)[C@H]3[C@@H](O)[C@@H]4OC(=O)[C@@H]([C@H]4C)[C@]3(C)[C@H](O)C[C@@H]12,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f958120>
18,NPC236089,Ilex crenata; Aglaia edulis,NPO23941,Pannellin,CHEMBL464992,10791693,COC(=O)[C@H]1[C@@H](O)[C@@]2(O)c3c(cc4c(c3OC)OCO4)O[C@@]2(c2ccc(OC)cc2)[C@@H]1c1ccccc1,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f958350>
19,NPC220858,Annona squamosa,NPO2884,Isocoreximine,CHEMBL1164088,10616178,COc1cc2c(cc1O)C[C@H]1c3cc(OC)c(O)cc3CCN1C2,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f958430>
20,NPC157193,Dipterocarpus dyeri; Ipomoea cairica; Fragaria vesca; Lasianthus fordii; Gardenia tubifera; Perilla frutescens,NPO1795,Methyl Alpha-D-Galactoside,CHEMBL467773,76935,CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f958580>
21,NPC55732,Xanthium strumarium,NPO2494,"7-(Hydroxymethyl)-8,8-Dimethyl-4H-1,4-Benzothiazine-3,5-Dione",CHEMBL1350218,15945057,CC1(C)C(CO)=CC(=O)C2=C1SCC(=O)N2,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f9585f0>
22,NPC321505,Cocculus laurifolius,NPO27912,Methyl Coclaurine,CHEMBL453292,2752274,COc1cc2c(cc1O)C(Cc1ccc(O)cc1)N(C)CC2,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f958660>
23,NPC224624,Piper longum,NPO26237,"(3R,4S)-3,4-Dihydroxypiperidin-2-One",CHEMBL2347642,71720812,O=C1NCC[C@H](O)[C@H]1O,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f9586d0>
24,NPC265513,Eria linearifolia; Castanea mollissima; Asparagus racemosus; Goniothalamus macrophyllus; Vigna luteola; Elaeocarpus serratus; Uncaria longiflora; Tubocapsicum anomalum; Cuscuta australis; Eucalyptus viminalis; Myrrhis odorata; Elettaria cardamomum,NPO28266,7-Oxodehydroabietinol,CHEMBL598770,15715176,CC(C)c1ccc2c(c1)C(=O)C[C@H]1[C@](C)(CO)CCC[C@]21C,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f958820>
25,NPC23837,Lagascea mollis; Foeniculum vulgare,NPO9130,"1,4-Dimethoxybenzene",CHEMBL1668604,9016,COc1ccc(OC)cc1,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f958970>
26,NPC188738,Vitex negundo; Aralidium pinnatifidum; Eurycoma longifolia,NPO8220,Eurycomalide B,CHEMBL1079672,46878940,CC1=C[C@H](O)[C@@H](O)[C@@]2(C)C1=CC(=O)[C@]1(C)[C@@H]2[C@@H](O)[C@@H]2OC(=O)[C@H]1[C@H]2C,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f9589e0>
27,NPC194653,Striga lutea; Crotalaria medicaginea; Dalbergia parviflora; Dalbergia sissoo; Cytisus scoparius; Pongamia pinnata; Kopsia teoi; Cicer arietinum,NPO24846,Pratensein,CHEMBL252904,5281803,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1O,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f958b30>
28,NPC53906,Gymnadenia conopsea; Syzygium aromaticum,NPO11479,3'-O-Methylbatatasin Iii,CHEMBL477124,442711,COc1cccc(CCc2cc(O)cc(OC)c2)c1,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f958d60>
29,NPC25111,Ulva lactuca; Acrostichum aureum,NPO14357,4''-Deoxyterphenyllin,CHEMBL1951870,57345621,COc1cc(-c2ccccc2)c(OC)c(O)c1-c1ccc(O)cc1,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f958eb0>
30,NPC280638,Lupinus albus; Salvia chinensis,NPO17683,"5-[5-(4-Hydroxy-Benzyl)-4-(4-Methoxy-Benzyl)-1-Methyl-1H-Imidazol-2-Ylamino]-3-Methyl-Imidazole-2,4-Dione",CHEMBL339727,188306,COc1ccc(Cc2nc(NC3=NC(=O)N(C)C3=O)n(C)c2Cc2ccc(O)cc2)cc1,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f958f90>
31,NPC131174,Taraxacum officinale; Taraxacum mongolicum,NPO26785,Taraxacin,CHEMBL449951,5241825,CC1=CC(=O)C2=C(C)CC3OC(=O)C(C)=C3C=C12,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f959000>
32,NPC7569,Aquilaria sinensis; Aquilaria malaccensis; Senecio scandens,NPO6956,6-Hydroxy-2-Phenethyl-Chromen-4-One,CHEMBL358544,5318315,O=c1cc(CCc2ccccc2)oc2ccc(O)cc12,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f959070>
33,NPC18449,Orophea enneandra; Magnolia denudata; Magnolia sprengeri; Acorus calamus,NPO15064,Eudesmine,CHEMBL523743,325601,COc1ccc([C@@H]2OC[C@@H]3[C@H]2CO[C@H]3c2ccc(OC)c(OC)c2)cc1OC,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f959230>
34,NPC174049,Pericampylus glaucus,NPO1525,Imerubrine,CHEMBL155844,n.a.,COc1c(OC)c2c3c(nccc3c1OC)-c1cc(O)ccc1-2,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f9592a0>
35,NPC11089,Dipterocarpus dyeri; Ipomoea cairica; Fragaria vesca; Lasianthus fordii; Gardenia tubifera; Perilla frutescens,NPO12509,Perilloxin,CHEMBL522898,10468570,COc1cc2c(c3c1C=COC=C3)O[C@@H](C(C)(C)O)C2,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f959380>
36,NPC2771,Cullen corylifolium,NPO28809,4'-Methoxyflavone,CHEMBL16312,77793,COc1ccc(-c2cc(=O)c3ccccc3o2)cc1,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f9593f0>
37,NPC121812,Muntingia calabura,NPO8046,"(2S)-8-Hydroxy-7,3',4',5'-Tetramethoxyflavan",CHEMBL459242,44567048,COc1ccc2c(c1O)O[C@H](c1cc(OC)c(OC)c(OC)c1)CC2,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f959460>
38,NPC303519,Stephania japonica,NPO22886,Steganacin,CHEMBL357525,44367762,COc1cc2c(c(OC)c1OC)-c1cc3c(cc1[C@@H](OC(C)=O)C1COC(=O)[C@H]1C2)OCO3,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f959690>
39,NPC254700,Ziziphus mauritiana; Ziziphus jujuba,NPO5986,Mauritine A,CHEMBL1927951,11353668,CC(C)[C@H](NC(=O)[C@H](C)N(C)C)C(=O)N1CC[C@@H]2Oc3ccc(cc3)/C=C\NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H]21,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f959700>
40,NPC184302,Crinum latifolium; Bauhinia purpurea,NPO5635,Bauhinol E,CHEMBL390766,16680048,COc1cc(CCc2ccccc2O)cc(O)c1C,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f959770>
41,NPC92659,Prunus persica,NPO28877,Skullcapflavone Ii,CHEMBL465561,124211,COc1cccc(O)c1-c1cc(=O)c2c(O)c(OC)c(OC)c(OC)c2o1,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f959850>
42,NPC100099,Soymida febrifuga; Crinum asiaticum,NPO11000,(S)-4-(7-Methoxychroman-2-Yl)Phenol,CHEMBL1080979,185609,COc1ccc2c(c1)O[C@H](c1ccc(O)cc1)CC2,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f959a10>
43,NPC202260,Harrisonia perforata,NPO21362,(+)-Vouacapenic Acid,CHEMBL2398518,73350581,C[C@H]1c2ccoc2C[C@H]2[C@H]1CC[C@@H]1[C@]2(C)CCC[C@]1(C)C(=O)O,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f959af0>
44,NPC186807,Lantana camara,NPO1859,Linaroside,CHEMBL496233,11972339,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f959b60>
45,NPC150531,Rivina humilis; Phalaris canariensis; Payena lucida; Pteridium aquilinum; Samadera indica; Artemisia lactiflora,NPO2551,Ecdysone,CHEMBL549300,19212,C[C@H]([C@H](O)CCC(C)(C)O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f959bd0>
46,NPC195202,Pandanus tectorius; Aegialitis annulata; Kopsia lapidilecta; Laurencia mariannensis; Clausena indica; Litsea monopetala; Pinus halepensis; Bonellia macrocarpa; Sarcococca saligna; Garcinia gaudichaudii; Pogostemon cablin; Hippocrepis emerus,NPO22717,"7,3',4'-Tri-O-Methylluteolin",CHEMBL468876,5272653,COc1cc(O)c2c(=O)cc(-c3ccc(OC)c(OC)c3)oc2c1,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f959d90>
47,NPC89442,Eragrostis viscosa; Nauclea officinalis; Mangifera indica,NPO4055,Foliamangiferoside A,CHEMBL3233507,46206548,COc1cc(O)c(C(=O)c2ccc(O)cc2)c(O)c1[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f959e00>
48,NPC429928,Broussonetia papyrifera,NPO5495,"5,7-Dihydrocoumarin",CHEMBL465435,3964390,O=c1ccc2c(o1)CCCC2,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f959ee0>
49,NPC41121,Ficus nervosa; Drymaria cordata,NPO19583,Kaempferol-3-O-Rhamnoside,CHEMBL515798,5318763,C[C@H]1O[C@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@@H](O)[C@@H](O)[C@@H]1O,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f959f50>
50,NPC305912,Gossypium herbaceum,NPO27472,Bis(2-Ethylhexyl) Phthalate,CHEMBL1242017,8343,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f95a0a0>
51,NPC44245,Pandanus tectorius; Aegialitis annulata; Litsea monopetala; Bonellia macrocarpa; Sarcococca saligna; Garcinia gaudichaudii,NPO28066,Peperomin C,CHEMBL224381,10917283,COc1cc(C(c2cc(OC)c(OC)c(OC)c2)[C@@H]2COC(=O)[C@H]2C)cc(OC)c1OC,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f95a1f0>
52,NPC107919,Garcinia schomburgkiana,NPO40656,Aphidicolin,CHEMBL29711,457964,C[C@@]1(CO)[C@H](O)CC[C@@]2(C)[C@H]1CC[C@H]1C[C@@H]3C[C@@]12CC[C@]3(O)CO,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f95a500>
53,NPC313163,Ipomoea muricata; Salvia hispanica; Styrax agrestis; Justicia adhatoda; Dalbergia sissoo; Ocimum basilicum; Magnolia coco; Erechtites hieraciifolius; Rosulabryum capillare; Macadamia ternifolia; Murraya paniculata; Desmodium styracifolium; Pistia stratiotes; Syzygium nervosum; Pterocarpus indicus; Glycine max; Hibiscus schizopetalus; Flemingia macrophylla; Kaempferia rotunda,NPO26606,Genistin,CHEMBL486625,5281377,O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f95a5e0>
54,NPC182257,Crinum asiaticum,NPO6123,Narciclasine,CHEMBL98745,72376,O=C1N[C@@H]2C(=C[C@H](O)[C@@H](O)[C@H]2O)c2cc3c(c(O)c21)OCO3,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f95a650>
55,NPC75389,Halimeda macroloba; Buxus sempervirens; Vicia villosa,NPO33241,Bufotalin,CHEMBL463064,12302120,CC(=O)O[C@H]1C[C@]2(O)[C@@H]3CC[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]2(C)[C@H]1c1ccc(=O)oc1,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f95a880>
56,NPC255675,Rumex obtusifolius; Piper retrofractum; Epipactis palustris,NPO8843,QGFJORGLNPWXMK-MRVPVSSYSA-N,CHEMBL3326612,n.a.,COc1cc(C[C@@H](O)CO)ccc1O,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f95aab0>
57,NPC269684,Aglaia foveolata,NPO8087,NNNRTJSRGAXLIH-MTSNUVQISA-N,CHEMBL1651032,50901039,CC(C)(O)[C@@H]1CC[C@@]2(O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@H]5CC[C@]43C)[C@H]2O1,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f95ab20>
58,NPC173295,Chromolaena odorata; Kaempferia pulchra; Drosera peltata; Dipterocarpus alatus; Citrus reticulata; Bursaria spinosa; Citrus maxima; Sesbania punicea; Securidaca inappendiculata,NPO25623,2-Methylaminobenzoic Acid Methyl Ester,CHEMBL1409791,6826,CNc1ccccc1C(=O)OC,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f95ace0>
59,NPC77955,Primula veris,NPO40877,"3',4'-Dimethoxyflavone",CHEMBL91153,688674,COc1ccc(-c2cc(=O)c3ccccc3o2)cc1OC,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f95aea0>
60,NPC257763,Zea mays,NPO15810,4-Acetyl-2-Benzoxazolinone,CHEMBL1075970,9989779,CC(=O)c1cccc2oc(=O)[nH]c12,True,<rdkit.Chem.rdchem.Mol object at 0x7ff79f95af10>
