,np_id,species_list,org_id,pref_name,molecule_chembl_id,pubchem_cid,smiles
10,NPC171736,Eria linearifolia; Allium tuberosum; Moringa oleifera; Castanea mollissima; Solanum dulcamara; Salvia hispanica; Gossypium barbadense; Morus cathayana; Vitex rotundifolia; Capsicum annuum; Codiaeum variegatum; Vitis vinifera; Avrainvillea nigricans; Curcuma phaeocaulis; Rhododendron ferrugineum; Carthamus tinctorius; Samanea saman; Lantana camara; Melia azedarach; Senecio scandens; Vallaris solanacea; Madhuca longifolia; Vitex trifolia; Jagera pseudorhus; Jasminum grandiflorum; Viscum coloratum; Myristica gigantea; Curcuma longa; Linum usitatissimum; Taraxacum officinale; Taraxacum mongolicum; Petteria ramentacea; Hibiscus syriacus; Nelumbo nucifera; Medinilla magnifica; Laggera alata; Ziziphus jujuba; Planchonella anteridifera; Mesua ferrea; Rhizophora mucronata; Cannabis sativa; Raphanus sativus; Glycine max; Curcuma zedoaria,NPO2618,Behenic Acid,CHEMBL1173474,8215,CCCCCCCCCCCCCCCCCCCCCC(=O)O
11,NPC176775,Mentha canadensis; Chromolaena odorata; Kaempferia pulchra; Drosera peltata; Polygala glomerata; Mentha arvensis; Dipterocarpus alatus; Citrus reticulata; Bursaria spinosa; Sesbania punicea; Securidaca inappendiculata; Bauhinia racemosa,NPO25144,Gardenin B,CHEMBL226512,96539,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)c(OC)c3o2)cc1
12,NPC201844,Brassica rapa; Centella asiatica; Carum carvi; Salvia hispanica; Cucumis melo; Elaeis guineensis; Houttuynia cordata; Vitex negundo; Lonicera japonica; Theobroma cacao; Citrus medica; Zea mays; Daucus carota; Xylopia aethiopica; Mirabilis jalapa; Capsicum annuum; Avena sativa; Vitis vinifera; Aegiceras corniculatum; Panicum miliaceum; Phytolacca americana; Artocarpus heterophyllus; Sonneratia alba; Agrimonia pilosa; Carthamus tinctorius; Phaseolus lunatus; Thymus vulgaris; Zingiber officinale; Vigna unguiculata; Punica granatum; Anethum graveolens; Manihot esculenta; Hordeum vulgare; Ficus carica; Vicia faba; Imperata cylindrica; Curcuma longa; Lupinus albus; Linum usitatissimum; Arachis hypogaea; Citrus reticulata; Lablab purpureus; Fagopyrum esculentum; Sorghum bicolor; Apium graveolens; Carica papaya; Virola surinamensis; Ulva prolifera; Piper nigrum; Brassica juncea; Mangifera indica; Croton tiglium; Citrus limon; Cucurbita pepo; Syzygium aromaticum; Attalea speciosa; Solanum tuberosum; Bruguiera gymnorhiza; Phaseolus vulgaris; Myristica fragrans; Musa acuminata; Ziziphus jujuba; Cocos nucifera; Brassica napus; Cucumis sativus; Brassica oleracea; Glycine max; Elettaria cardamomum; Sinapis alba; Asparagus officinalis; Cinnamomum aromaticum; Oryza sativa; Anacardium occidentale; Citrullus lanatus,NPO16509,Dodecanoate,CHEMBL108766,3893,CCCCCCCCCCCC(=O)O
13,NPC206614,Barleria prionitis; Alpinia javanica; Crypteronia paniculata; Tithonia diversifolia,NPO9841,Tagitinin A,CHEMBL518700,181254,C=C1C(=O)O[C@@H]2C[C@H](C)[C@@]3(O)C[C@H](O)[C@@](C)(C[C@@H](OC(=O)C(C)C)[C@@H]12)O3
14,NPC20791,Myrsine capitellata; Abutilon theophrasti; Afrocarpus falcatus; Allium ascalonicum; Ipomoea digitata; Ixeris chinensis; Centaurea solstitialis; Flacourtia jangomas; Peganum harmala; Capparis spinosa; Allium tuberosum; Moringa oleifera; Callicarpa japonica; Avrainvillea longicaulis; Brassica rapa; Centella asiatica; Impatiens balsamina; Rivina humilis; Glycosmis macrophylla; Stephania zippeliana; Garcinia macrophylla; Corchorus olitorius; Trachelospermum jasminoides; Chenopodium quinoa; Smilax menispermoidea; Pinus massoniana; Dodonaea viscosa; Phalaris canariensis; Nasturtium officinale; Diospyros eriantha; Artemisia rupestris; Eucalyptus alba; Citrus aurantiifolia; Cyrtomium falcatum; Persicaria glabra; Payena lucida; Sorbus aucuparia; Sindora wallichii; Pteridium aquilinum; Salvia hispanica; Goniothalamus malayanus; Syzygium polycephaloides; Cucumis melo; Pyrola japonica; Cladogynos orientalis; Caulerpa serrulata; Aristolochia zollingeriana; Planchonia grandis; Rhododendron mucronatum; Houttuynia cordata; Gouania microcarpa; Vitex negundo; Lobelia chinensis; Trachelospermum asiaticum; Alangium vitiense; Prunus persica; Rumex obtusifolius; Lonicera japonica; Glochidion sphaerogynum; Theobroma cacao; Chamaemelum nobile; Luffa aegyptiaca; Ananas comosus; Mitragyna speciosa; Dumortiera hirsuta; Bryum argenteum; Rhodiola rosea; Daucus carota; Pyrrosia lingua; Alphitonia macrocarpa; Capsicum annuum; Avena sativa; Glinus lotoides; Entada phaseoloides; Vitis vinifera; Eragrostis curvula; Parthenocissus quinquefolia; Mimosa diplotricha; Jackiella javanica; Agrimonia pilosa; Abelmoschus esculentus; Rosa chinensis; Breonia chinensis; Diospyros kaki; Carthamus tinctorius; Medicago sativa; Atalantia racemosa; Canella winterana; Salacia elliptica; Pteris fauriei; Samanea saman; Pangium edule; Croton cascarilloides; Pteridium esculentum; Melia azedarach; Erythrospermum zeylanicum; Thymus vulgaris; Morus nigra; Taxillus chinensis; Hypolepis punctata; Zingiber officinale; Psychotria serpens; Gleditsia sinensis; Phytolacca acinosa; Ipomoea aquatica; Phyllanthus urinaria; Cardiospermum halicacabum; Embelia parviflora; Vigna unguiculata; Dichotomaria marginata; Aglaia elaeagnoidea; Punica granatum; Anethum graveolens; Abelia chinensis; Magnolia montana; Citrus trifoliata; Tarenaya spinosa; Alyxia reinwardtii; Hypericum japonicum; Solanum nigrum; Allium ampeloprasum; Allium schoenoprasum; Chrysanthemum indicum; Colocasia esculenta; Eurya japonica; Bombax ceiba; Sterculia foetida; Cuphea carthagenensis; Urtica dioica; Allium cepa; Camellia japonica; Coriandrum sativum; Vicia faba; Clausena lansium; Lactuca indica; Rosulabryum capillare; Curcuma longa; Eugenia uniflora; Diplopterygium glaucum; Toxicodendron succedaneum; Targionia hypophylla; Magnolia sprengeri; Cucurbita moschata; Citrus reticulata; Beta vulgaris; Smilax china; Albertisia papuana; Hyptis brevipes; Senna siamea; Persicaria orientalis; Diphasiastrum thyoides; Ophiorrhiza blumeana; Annona muricata; Isodon japonicus; Euphorbia hirta; Fagopyrum esculentum; Frullania tamarisci; Gmelina asiatica; Macadamia ternifolia; Taraxacum officinale; Apium graveolens; Taraxacum mongolicum; Vigna radiata; Premna tomentosa; Sagittaria sagittifolia; Lygodium flexuosum; Entada rheedei; Murraya paniculata; Gracilaria textorii; Utricularia australis; Citrus maxima; Syringodium isoetifolium; Crinum latifolium; Podocarpus macrophyllus; Myosotis sylvatica; Vigna mungo; Aristolochia labiata; Scaevola taccada; Gouania leptostachya; Abelmoschus manihot; Platycladus orientalis; Morus alba; Jania rubens; Filicium decipiens; Phyllanthus emblica; Ipomoea batatas; Oroxylum indicum; Tetragonia tetragonioides; Cuscuta australis; Prunus mume; Radermachera xylocarpa; Alangium kurzii; Saccharum spontaneum; Eragrostis viscosa; Nauclea officinalis; Hedychium villosum; Brassica juncea; Euonymus alatus; Crescentia cujete; Aglaia elliptica; Sarcandra glabra; Macaranga peltata; Mangifera indica; Lupinus paniculatus; Boehmeria nivea; Pogostemon cablin; Urena lobata; Vigna angularis; Samadera indica; Spinulum annotinum; Chrysanthemum morifolium; Solanum lycopersicum; Citrus limon; Coffea canephora; Desmodium styracifolium; Psidium guajava; Pteris dactylina; Nelumbo nucifera; Vigna umbellata; Ardisia japonica; Chaenomeles speciosa; Allium victorialis; Cucurbita pepo; Syzygium aromaticum; Foeniculum vulgare; Dicranopteris linearis; Allium neapolitanum; Morinda citrifolia; Solanum tuberosum; Erigeron annuus; Fagraea gracilipes; Helianthus annuus; Lonicera confusa; Portulaca oleracea; Syzygium nervosum; Phaseolus vulgaris; Sesbania bispinosa; Cycas revoluta; Dipteryx odorata; Oenanthe javanica; Lawsonia inermis; Myristica fragrans; Zanthoxylum bungeanum; Broussonetia papyrifera; Bauhinia purpurea; Rumex nepalensis; Bauhinia glauca; Litsea glutinosa; Etlingera elatior; Petroselinum crispum; Ziziphus jujuba; Limnocharis flava; Amaranthus hypochondriacus; Persicaria perfoliata; Typha domingensis; Canarium strictum; Allium sativum; Helicteres angustifolia; Brassica napus; Corchorus trilocularis; Citrus aurantium; Eucalyptus resinifera; Cucumis sativus; Raphanus sativus; Premna odorata; Brassica oleracea; Glycine max; Solanum melongena; Debregeasia orientalis; Vatica albiramis; Sinapis alba; Asparagus officinalis; Fritillaria meleagris; Artocarpus altilis; Momordica charantia; Camellia sinensis; Porophyllum ruderale; Triticum aestivum; Artemisia lactiflora; Koompassia malaccensis; Epipactis palustris; Centipeda minima; Pteris semipinnata; Mimosa rubicaulis; Sorbaria sorbifolia; Pyrostegia venusta; Uncaria gambir; Rauvolfia vomitoria; Gnetum latifolium; Gardenia jasminoides; Sonneratia caseolaris; Coffea arabica; Typha angustifolia; Indigofera linnaei,NPO16145,Quercetin,CHEMBL50,5280343,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
15,NPC209970,Eria linearifolia; Cinnamomum subavenium; Allium tuberosum; Asplenium normale; Centella asiatica; Castanea mollissima; Garcinia macrophylla; Trifolium alexandrinum; Salvia hispanica; Solanum jamaicense; Elaeis guineensis; Houttuynia cordata; Gouania microcarpa; Vitex negundo; Lobelia chinensis; Gossypium barbadense; Ceratophyllum submersum; Morus cathayana; Brucea javanica; Chromolaena odorata; Vitex rotundifolia; Xylopia aethiopica; Mirabilis jalapa; Capsicum annuum; Glinus lotoides; Codiaeum variegatum; Vitis vinifera; Aegiceras corniculatum; Benincasa hispida; Avrainvillea nigricans; Lycium chinense; Sonneratia alba; Agrimonia pilosa; Curcuma phaeocaulis; Rhododendron ferrugineum; Carthamus tinctorius; Samanea saman; Lantana camara; Melia azedarach; Senecio scandens; Vallaris solanacea; Eclipta prostrata; Zingiber officinale; Madhuca longifolia; Plantago major; Punica granatum; Vitex trifolia; Polygala sibirica; Jagera pseudorhus; Kaempferia pulchra; Drosera peltata; Jasminum grandiflorum; Viscum coloratum; Polygala glomerata; Imperata cylindrica; Myristica gigantea; Rosulabryum capillare; Meliosma simplicifolia; Curcuma longa; Dipterocarpus alatus; Codium dwarkense; Diplazium esculentum; Xanthium strumarium; Linum usitatissimum; Cucurbita moschata; Ocimum gratissimum; Glochidion philippicum; Arachis hypogaea; Ceriops decandra; Citrus reticulata; Bursaria spinosa; Archidendron ellipticum; Tabernaemontana divaricata; Ophiorrhiza blumeana; Macadamia ternifolia; Taraxacum officinale; Terminalia chebula; Taraxacum mongolicum; Citrus maxima; Ulva prolifera; Sesbania punicea; Eragrostis viscosa; Nauclea officinalis; Piper nigrum; Mangifera indica; Pogostemon cablin; Croton tiglium; Desmodium styracifolium; Plantago asiatica; Nelumbo nucifera; Eucalyptus cladocalyx; Syzygium aromaticum; Bruguiera gymnorhiza; Helianthus annuus; Syzygium nervosum; Adiantum caudatum; Myristica fragrans; Castanea crenata; Ziziphus jujuba; Cocos nucifera; Salvadora persica; Securidaca inappendiculata; Canarium strictum; Rhizophora mucronata; Cannabis sativa; Raphanus sativus; Glycine max; Elettaria cardamomum; Curcuma zedoaria; Cinnamomum aromaticum; Perilla frutescens; Plantago depressa,NPO3808,Stearic Acid,CHEMBL46403,5281,CCCCCCCCCCCCCCCCCC(=O)O
16,NPC213603,Pterocarpus indicus,NPO7255,Angolensin,CHEMBL1373918,3584988,COc1ccc(C(C)C(=O)c2ccc(O)cc2O)cc1
17,NPC216630,Nerium oleander; Eria linearifolia; Cinnamomum subavenium; Allium tuberosum; Centella asiatica; Alstonia muelleriana; Magnolia obovata; Castanea mollissima; Ipomoea purpurea; Chenopodium quinoa; Diospyros elliptifolia; Sauromatum giganteum; Torilis japonica; Rennellia elliptica; Salvia hispanica; Pyrola japonica; Mentha canadensis; Leucaena leucocephala; Elaeis guineensis; Houttuynia cordata; Aquilaria sinensis; Vitex negundo; Lobelia chinensis; Monodora angolensis; Gossypium barbadense; Morus cathayana; Brucea javanica; Achyranthes bidentata; Chromolaena odorata; Lonicera japonica; Vitex rotundifolia; Xylopia aethiopica; Mirabilis jalapa; Capsicum annuum; Diospyros maritima; Codiaeum variegatum; Vitis vinifera; Aegiceras corniculatum; Benincasa hispida; Lycium chinense; Sonneratia alba; Agrimonia pilosa; Curcuma phaeocaulis; Diospyros kaki; Carthamus tinctorius; Samanea saman; Lantana camara; Melia azedarach; Thymus vulgaris; Lygodium japonicum; Senecio scandens; Gmelina arborea; Eclipta prostrata; Zingiber officinale; Hydnocarpus annamensis; Madhuca longifolia; Phoenix paludosa; Plantago major; Punica granatum; Vitex trifolia; Polygala sibirica; Jagera pseudorhus; Kaempferia pulchra; Chrysanthemum indicum; Drosera peltata; Cyperus rotundus; Viscum coloratum; Sigesbeckia orientalis; Polygala glomerata; Mentha arvensis; Dendrobium fimbriatum; Imperata cylindrica; Myristica gigantea; Meliosma simplicifolia; Curcuma longa; Dipterocarpus alatus; Targionia hypophylla; Cibotium barometz; Dioscorea polystachya; Xanthium strumarium; Linum usitatissimum; Arachis hypogaea; Citrus reticulata; Bursaria spinosa; Smilax china; Taraxacum officinale; Terminalia chebula; Taraxacum mongolicum; Citrus maxima; Crinum latifolium; Morus alba; Foeniculum vulgare; Ulva prolifera; Phyllanthus emblica; Sesbania punicea; Prunus mume; Eragrostis viscosa; Nauclea officinalis; Piper nigrum; Mangifera indica; Pogostemon cablin; Croton tiglium; Plantago asiatica; Nelumbo nucifera; Andrographis paniculata; Bruguiera gymnorhiza; Helianthus annuus; Lonicera confusa; Portulaca oleracea; Adiantum caudatum; Glycine tomentella; Myristica fragrans; Zanthoxylum bungeanum; Bauhinia purpurea; Litsea glutinosa; Ziziphus jujuba; Cocos nucifera; Cymbidium aloifolium; Securidaca inappendiculata; Rhizophora mucronata; Cannabis sativa; Raphanus sativus; Glycine max; Elettaria cardamomum; Curcuma zedoaria; Cinnamomum aromaticum; Oryza sativa; Triticum aestivum; Perilla frutescens; Centipeda minima; Plantago depressa; Gardenia jasminoides; Phyllodium pulchellum; Zanthoxylum nitidum; Mikania scandens,NPO24706,Palmitic Acid,CHEMBL82293,985,CCCCCCCCCCCCCCCC(=O)O
18,NPC231018,Prunus cerasoides; Mentha canadensis; Phytolacca americana; Ocimum basilicum; Mentha arvensis; Mentha piperita,NPO33595,Xanthomicrol,CHEMBL476121,73207,COc1c(OC)c(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1OC
19,NPC261831,Passiflora edulis; Capparis spinosa; Allium tuberosum; Moringa oleifera; Asplenium normale; Centella asiatica; Trifolium hybridum; Trifolium alexandrinum; Corchorus olitorius; Satureja hortensis; Chenopodium quinoa; Corylus avellana; Dioscorea pentaphylla; Citrus aurantiifolia; Salvia hispanica; Cucumis melo; Cissampelos pareira; Solanum jamaicense; Elaeis guineensis; Aquilaria sinensis; Vitex negundo; Monodora angolensis; Gossypium barbadense; Ceratophyllum submersum; Brucea javanica; Prunus persica; Chromolaena odorata; Theobroma cacao; Luffa aegyptiaca; Lepidium sativum; Ananas comosus; Zea mays; Daucus carota; Xylopia aethiopica; Mirabilis jalapa; Capsicum annuum; Persea americana; Codiaeum variegatum; Vitis vinifera; Aegiceras corniculatum; Benincasa hispida; Avrainvillea nigricans; Sonneratia alba; Agrimonia pilosa; Curcuma phaeocaulis; Rhododendron ferrugineum; Cajanus cajan; Diospyros kaki; Carthamus tinctorius; Samanea saman; Bertholletia excelsa; Melia azedarach; Borago officinalis; Phaseolus lunatus; Thymus vulgaris; Lygodium japonicum; Senecio scandens; Vallaris solanacea; Eclipta prostrata; Zingiber officinale; Phytolacca acinosa; Cardiospermum halicacabum; Madhuca longifolia; Vigna unguiculata; Aglaia elaeagnoidea; Plantago major; Punica granatum; Vitex trifolia; Polygala sibirica; Manihot esculenta; Jagera pseudorhus; Hordeum vulgare; Kaempferia pulchra; Allium schoenoprasum; Ficus carica; Colocasia esculenta; Drosera peltata; Cuphea carthagenensis; Callistemon coccineus; Jasminum grandiflorum; Viscum coloratum; Allium cepa; Sigesbeckia orientalis; Polygala glomerata; Coriandrum sativum; Vicia faba; Alpinia zerumbet; Myristica gigantea; Curcuma longa; Lupinus albus; Tamarindus indica; Dipterocarpus alatus; Sesamum orientale; Cibotium barometz; Dioscorea polystachya; Datura metel; Xanthium strumarium; Linum usitatissimum; Arachis hypogaea; Citrus reticulata; Bursaria spinosa; Beta vulgaris; Lablab purpureus; Fagopyrum esculentum; Taraxacum officinale; Terminalia chebula; Apium graveolens; Vigna radiata; Carica papaya; Citrus maxima; Virola surinamensis; Vigna mungo; Foeniculum vulgare; Ulva prolifera; Uncaria longiflora; Ipomoea batatas; Olea europaea; Tubocapsicum anomalum; Sesbania punicea; Cuscuta australis; Eucalyptus viminalis; Cullen corylifolium; Eragrostis viscosa; Nauclea officinalis; Piper nigrum; Myrrhis odorata; Mangifera indica; Pogostemon cablin; Alstonia spectabilis; Croton tiglium; Pongamia pinnata; Solanum lycopersicum; Psidium guajava; Nelumbo nucifera; Cucurbita pepo; Syzygium aromaticum; Solanum tuberosum; Bruguiera gymnorhiza; Helianthus annuus; Portulaca oleracea; Adiantum caudatum; Phaseolus vulgaris; Lagenaria siceraria; Myristica fragrans; Castanea crenata; Zanthoxylum bungeanum; Petroselinum crispum; Ziziphus jujuba; Cocos nucifera; Securidaca inappendiculata; Rhizophora mucronata; Cannabis sativa; Cucumis sativus; Raphanus sativus; Brassica oleracea; Glycine max; Elettaria cardamomum; Solanum melongena; Sinapis alba; Asparagus officinalis; Curcuma zedoaria; Cicer arietinum; Momordica charantia; Oryza sativa; Triticum aestivum; Perilla frutescens; Anacardium occidentale; Citrullus lanatus; Papaver somniferum; Psophocarpus tetragonolobus; Zanthoxylum nitidum; Psidium cattleianum; Coffea arabica,NPO10207,Oleic Acid,CHEMBL8659,445639,CCCCCCCC/C=C\CCCCCCCC(=O)O
20,NPC279026,Brassica rapa; Carum carvi; Cucumis melo; Houttuynia cordata; Aquilaria sinensis; Lonicera japonica; Theobroma cacao; Zea mays; Daucus carota; Capsicum annuum; Vitis vinifera; Panicum miliaceum; Artocarpus heterophyllus; Carthamus tinctorius; Thymus vulgaris; Zingiber officinale; Vigna unguiculata; Citrus trifoliata; Ficus carica; Chrysanthemum indicum; Imperata cylindrica; Curcuma longa; Linum usitatissimum; Arachis hypogaea; Citrus reticulata; Fagopyrum esculentum; Sorghum bicolor; Terminalia chebula; Apium graveolens; Virola surinamensis; Prunus mume; Piper nigrum; Citrus limon; Cucurbita pepo; Syzygium aromaticum; Attalea speciosa; Solanum tuberosum; Helianthus annuus; Phaseolus vulgaris; Musa acuminata; Cocos nucifera; Allium sativum; Citrus aurantium; Brassica oleracea; Elettaria cardamomum; Cinnamomum aromaticum; Anacardium occidentale; Citrullus lanatus,NPO27293,Decanoic Acid,CHEMBL107498,2969,CCCCCCCCCC(=O)O
21,NPC290563,Tropaeolum majus; Vitis vinifera; Ficus carica; Linum usitatissimum; Terminalia chebula; Brassica campestris; Raphanus sativus; Glycine max,NPO30971,Erucic Acid,CHEMBL1173380,5281116,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O
