np_id	pref_name	iupac_name	chembl_id	pubchem_cid	num_of_organism	num_of_target	num_of_activity	if_has_Quantity
NPC33998	WPFVMMFYVQOHJB-AVYBHDSJSA-N	n.a.	n.a.	n.a.	11	0	0	No
NPC34000	PCWPSOCJBMEHGK-OASYUQNDSA-N	n.a.	n.a.	n.a.	1	0	0	No
NPC34009	CRIPFXSBMSGPKB-FOSXNRGSSA-N	n.a.	n.a.	n.a.	6	0	0	No
NPC34010	UFJPCTSKTPSJTK-SGAOCFLWSA-N	n.a.	n.a.	12309393	18	0	0	No
NPC34012	Taxumairol A	n.a.	CHEMBL448747	5321725	2	4	4	No
NPC34019	Petrosterol	(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R,5R)-5-[(1R,2R)-2-methylcyclopropyl]hexan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol	CHEMBL559744	194249	1	6	9	No
NPC34025	YMBFCQPIMVLNIU-SOUVJXGZSA-N	n.a.	n.a.	6429302	4	0	0	No
NPC34028	JLSMRQKPAPRPMB-AQOXXNDVSA-N	n.a.	n.a.	21151091	1	0	0	No
NPC3403	20(S)-Dammarane-25(26)-Ene-3Beta,12Beta,20-Triol	(3S,5R,8R,9R,10R,12R,13R,14R,17S)-17-[(2S)-2-hydroxy-6-methylhept-6-en-2-yl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3,12-diol	CHEMBL2313416	71719758	5	1	1	No
NPC34030	VYCDMYBWKLWUHZ-JJAPNAJXSA-N	n.a.	n.a.	21581740	3	0	0	No
NPC34033	XZVFRLDHIHBLGT-UHFFFAOYSA-N	n.a.	n.a.	101967025	3	0	0	No
NPC34035	VLGVHECSERGNMZ-MRXNPFEDSA-N	n.a.	n.a.	74763756	3	0	0	No
NPC34044	APLGGFLATUGFCO-SWSHNKPGSA-N	n.a.	n.a.	10427752	1	0	0	No
NPC34046	Chenodiol	(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid	CHEMBL240597	10133	5	97	325	No
NPC34051	CVQDTIXQCRHCMN-JFABQFLVSA-N	n.a.	n.a.	n.a.	4	0	0	No
NPC34052	ALPSEMFPAVSKJO-LFFXLFLLSA-N	n.a.	n.a.	10649544	3	0	0	No
NPC34056	Turraflorin A	methyl 2-[(1R,2S)-2-[(1R,5R,6R,7R,7aS)-6,7-diacetyloxy-1-(furan-3-yl)-7a-methyl-4-methylidene-2,5,6,7-tetrahydro-1H-inden-5-yl]-2,6,6-trimethyl-5-oxocyclohex-3-en-1-yl]acetate	CHEMBL2386306	12150033	1	3	3	No
NPC34057	GXHQIRPDRXTHNA-UOXYRJJGSA-N	n.a.	n.a.	n.a.	1	0	0	No
NPC34063	RZRIJLLGEUPKNZ-BIENJXGCSA-N	n.a.	n.a.	52952749	1	0	0	No
NPC34064	XEFLZEPEOLTAKR-UHFFFAOYSA-N	n.a.	n.a.	622890	4	0	0	No
NPC34066	Benzoylpaeoniflorin	n.a.	CHEMBL1077641	46882878	6	4	7	No
NPC34068	KIJAQQYGTDMBNC-YPVIEUOTSA-N	n.a.	n.a.	53355586	1	0	0	No
NPC34070	Okanin	(E)-3-(3,4-dihydroxyphenyl)-1-(2,3,4-trihydroxyphenyl)prop-2-en-1-one	CHEMBL222557	5281294	54	4	5	No
NPC34071	XQCGNURMLWFQJR-CISXATDNSA-N	n.a.	n.a.	222155	1	0	0	No
NPC34081	JIUZSBAXPZBGBT-WNHNPGIUSA-N	n.a.	n.a.	101632069	1	0	0	No
NPC34086	MXZNPJAAHPKAFU-PNWSUDBXSA-N	n.a.	n.a.	24866958	7	0	0	No
NPC34087	AZCCBOGMNKOZLP-MTMBJODSSA-N	n.a.	n.a.	25105022	4	0	0	No
NPC34089	Lanaroflavone	8-[4-(5,7-dihydroxy-4-oxochromen-2-yl)phenoxy]-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one	CHEMBL2172395	11272651	41	2	2	No
NPC34092	DOZZYPQKQILXDE-KXYJKIJSSA-N	n.a.	n.a.	n.a.	16	0	0	No
NPC34103	(-)-Syringaresinol	4-[(3R,3aS,6R,6aS)-6-(4-hydroxy-3,5-dimethoxyphenyl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-3-yl]-2,6-dimethoxyphenol	CHEMBL402653	11604108	155	10	16	No
NPC34105	LJZHYURIHAAOET-LTRIRULVSA-N	n.a.	n.a.	10525865	1	0	0	No
NPC34106	GFEIYWSBRLRYJI-XNPJLODASA-N	n.a.	n.a.	5319968	1	0	0	No
NPC34110	(-)-(1R,7S,10R)-1-Hydroxy-11-Norcadinan-5-En-4-One	(4aR,5R,8S)-4a-hydroxy-5-methyl-8-propan-2-yl-3,4,5,6,7,8-hexahydronaphthalen-2-one	CHEMBL507300	11644246	1	5	5	No
NPC34111	FRUKFIOHLWDQNH-SGUDHRSHSA-N	n.a.	n.a.	n.a.	14	0	0	No
NPC34112	HHNPREGNVCFCOP-BFQBLSCMSA-N	n.a.	n.a.	n.a.	7	0	0	No
NPC34125	REZQBEBOWJAQKS-UHFFFAOYSA-N	n.a.	n.a.	68972	100	0	0	Yes
NPC3413	IKONEAPXVKTZFF-AHQALBJSSA-N	n.a.	n.a.	n.a.	20	0	0	No
NPC34131	RBCYRZPENADQGZ-UHFFFAOYSA-N	n.a.	n.a.	9873754	1	0	0	No
NPC3415	KTLUHRSHFRODPS-ZMSZJQPBSA-N	n.a.	n.a.	12795894	4	0	0	No
NPC34153	Prop-2-Yn-1-Ol	prop-2-yn-1-ol	CHEMBL1563026	7859	1	3	3	No
NPC34154	NPGVSXYVQBUVAB-UFJXTZGESA-N	n.a.	n.a.	n.a.	19	0	0	No
NPC34156	NBKXMCXVNUKNJF-BKMJKUGQSA-N	n.a.	n.a.	21722964	29	0	0	No
NPC3416	HCPHTFPXKYIWBH-RBDSIQFVSA-N	n.a.	n.a.	15699283	13	0	0	No
NPC34160	ANOWPAROOPYHTP-SUNAXECMSA-N	n.a.	n.a.	11972455	1	0	0	No
NPC3417	FPDDUPUDFYVZHW-QOOKETHRSA-N	n.a.	n.a.	10760330	6	0	0	No
NPC34176	LCNRKZPRBJXKGZ-IPKGVIKJSA-N	n.a.	n.a.	102056175	5	0	0	No
NPC34177	(3S,4Ar,6Ar,6Bs,8S,8As,12As,14Ar,14Br)-4,4,6A,6B,8A,11,11,14B-Octamethyl-1,2,3,4A,5,6,7,8,9,10,12,12A,14,14A-Tetradecahydropicene-3,8-Diol	(3S,4aR,6aR,6bS,8S,8aS,12aS,14aR,14bR)-4,4,6a,6b,8a,11,11,14b-octamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicene-3,8-diol	CHEMBL1977415	397934	2	55	55	No
NPC34190	3Alpha,6Beta-Dihydroxy-7,17-Dioxo-Ent-Abieta-15(16)-Ene	2-[(2R,4aR,4bS,7R,8aS,9S,10aR)-7,9-dihydroxy-4b,8,8-trimethyl-10-oxo-2,3,4,4a,5,6,7,8a,9,10a-decahydro-1H-phenanthren-2-yl]prop-2-enal	CHEMBL1641878	53319172	1	3	3	No
NPC34192	WRORFDCUNLGVJF-NKSXRMIXSA-N	n.a.	n.a.	11953918	2	0	0	No
NPC34193	ACOQUBGHQYPJFN-NZZVAQPWSA-N	n.a.	CHEMBL3109401	n.a.	1	17	17	No
NPC34216	MJQXSOWPXAGTAX-QTCMRCDBSA-N	n.a.	n.a.	n.a.	8	0	0	No
NPC34220	ACYXDIZTQDLTCB-FXAWDEMLSA-N	n.a.	n.a.	n.a.	26	0	0	No
NPC34222	MQNDIFGHQSDIOB-XRYRHKQGSA-N	n.a.	n.a.	13875695	2	0	0	No
NPC3423	YCBVTHJPQCNICU-UHFFFAOYSA-N	n.a.	n.a.	118529	1	0	0	No
NPC34230	KKSYAZCUYVRKML-MIFWSGIRSA-N	n.a.	n.a.	49775358	4	0	0	No
NPC34233	IJAJJCQIFGPPLA-UHFFFAOYSA-N	n.a.	n.a.	572861	2	0	0	No
NPC34236	ZHILIOYRCNNMOP-UHFFFAOYSA-N	n.a.	n.a.	n.a.	15	0	0	No
NPC34241	USNPULRDBDVJAO-FXCAAIILSA-O	n.a.	n.a.	441674	80	0	0	Yes
