taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
8066268	Eriopus cristatus (Hedw.) Brid.	2669851	Calyptrochaeta cristata (Hedw.) Desv.	1	SPECIES	SYNONYM	Plantae	6	Bryophyta	35	Bryopsida	327	Hookeriales	1339	Daltoniaceae	4649	Calyptrochaeta	2669823	Calyptrochaeta cristata	2669851	NE
8077912	Banisteria javanica Thunb.	3191302	Hiptage benghalensis (L.) Kurz	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Malpighiaceae	6676	Hiptage	3000872	Hiptage benghalensis	3191302	NE
8118762	Cissus modesta (Miq.) Amshoff	3039164	Cissus repens Lam.	3	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Vitales	7222050	Vitaceae	6672	Cissus	3039160	Cissus repens	3039164	NE
8162096	Papillaria filipendula f. javanica M.Fleisch.	5838276	Papillaria flexicaulis (Wilson) A.Jaeger	1	FORM	SYNONYM	Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Meteoriaceae	4663	Papillaria	2673292	Papillaria flexicaulis	5838276	
8191953	Livistona chinensis (Jacq.) R.Br., 1810	2733469	Livistona chinensis (Jacq.) R.Br. ex Mart.	3	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Arecales	552	Arecaceae	7681	Livistona	2733389	Livistona chinensis	2733469	NE
8246363	Alternanthera amoena Voss ex K.Heyne, 1927	8246363	Alternanthera amoena Voss ex K.Heyne, 1927	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Amaranthaceae	3064	Alternanthera	3084921	Alternanthera amoena	8246363	NE
8254282	Litsea gracilipes Hemsl.	7304372	Neolitsea wushanica (Chun) Merr.	11	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Laurales	407	Lauraceae	6688	Neolitsea	7304368	Neolitsea wushanica	7304372	NE
8315853	Tylophora flexuosa R.Br.	5525681	Vincetoxicum flexuosum (R.Br.) Kuntze	85	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Apocynaceae	6701	Vincetoxicum	7588865	Vincetoxicum flexuosum	5525681	NE
8791441	Sphenostemon arfakensis (Gibbs) Steenis & Erdtman	4196188	Sphenostemon arfakense (Gibbs) Steenis & Erdtman	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Paracryphiales	8124151	Paracryphiaceae	3597505	Sphenostemon	7329738	Sphenostemon arfakense	4196188	NE
8809747	Marsupella vulcanica Schiffn.	9593657	Marsupella neesii Sande Lac. ex Schiffn.	9	SPECIES	SYNONYM	Plantae	6	Marchantiophyta	9	Jungermanniopsida	126	Jungermanniales	381	Gymnomitriaceae	6138	Marsupella	2689259	Marsupella neesii	9593657	NE
